name,handedness,height,weight,avg,HR,RHBA,LHBA,RHHR,LHHR
Don Lock,R,74,195,0.238,122,0.238,0,122,0
Billy Cowan,R,72,170,0.236,40,0.236,0,40,0
Billy Smith,B,74,185,0.23,17,0,0,0,0
Allan Ramirez,R,70,180,0,0,0,0,0,0
Tony Perez,R,74,175,0.279,379,0.279,0,379,0
Chuck Schilling,R,70,160,0.239,23,0.239,0,23,0
Hal McRae,R,71,180,0.29,191,0.29,0,191,0
Dave Roberts,R,75,215,0.239,49,0.239,0,49,0
Brian Allard,R,73,175,0,0,0,0,0,0
Jim Lefebvre,B,72,180,0.251,74,0,0,0,0
Fernando Arroyo,R,74,180,0,0,0,0,0,0
Gary Beare,R,76,205,0,0,0,0,0,0
Charlie Spikes,R,75,215,0.246,65,0.246,0,65,0
Brian Dubois,L,70,165,0,0,0,0,0,0
Steve Whitaker,L,72,180,0.23,24,0,0.23,0,24
Manny Jimenez,L,73,185,0.272,26,0,0.272,0,26
Chris Batton,R,76,195,0,0,0,0,0,0
Duffy Dyer,R,72,187,0.221,30,0.221,0,30,0
Ken Henderson,B,74,180,0.257,122,0,0,0,0
Vance Lovelace,L,77,205,0,0,0,0,0,0
Greg Thayer,R,71,182,0,0,0,0,0,0
Vern Fuller,R,73,170,0.232,14,0.232,0,14,0
Paul Hartzell,R,77,200,0,0,0,0,0,0
Wayne Gross,L,74,210,0.233,121,0,0.233,0,121
Mike Champion,R,72,185,0.229,2,0.229,0,2,0
Ralph Botting,L,72,195,0,0,0,0,0,0
Paul Casanova,R,76,180,0.225,50,0.225,0,50,0
Steve Rogers,R,74,175,0.138,0,0.138,0,0,0
Keith Creel,R,74,180,0,0,0,0,0,0
Terry Crowley,L,72,180,0.25,42,0,0.25,0,42
Horace Clarke,B,69,170,0.256,27,0,0,0,0
Lou Clinton,R,73,185,0.247,65,0.247,0,65,0
Larry Cox,R,70,178,0.221,12,0.221,0,12,0
Nate Colbert,R,74,190,0.243,173,0.243,0,173,0
Phil Roof,R,74,190,0.215,43,0.215,0,43,0
Chuck Hinton,R,73,180,0.264,113,0.264,0,113,0
Tim Cullen,R,73,185,0.22,9,0.22,0,9,0
Tim Harkness,L,74,182,0.235,14,0,0.235,0,14
Rick Bosetti,R,71,185,0.25,17,0.25,0,17,0
Ron Pruitt,R,72,185,0.269,12,0.269,0,12,0
George Foster,R,73,180,0.274,348,0.274,0,348,0
Jerry White,B,70,164,0.253,21,0,0,0,0
Angel Mangual,R,70,178,0.245,22,0.245,0,22,0
Ken Gerhart,R,72,190,0.221,24,0.221,0,24,0
Mike Hershberger,R,70,175,0.252,26,0.252,0,26,0
Jim French,L,68,180,0.196,5,0,0.196,0,5
Dave Roberts,L,75,195,0.194,7,0,0.194,0,7
Jim Mason,L,74,185,0.203,12,0,0.203,0,12
Mike Smith,R,75,180,0,0,0,0,0,0
Willie Smith,L,72,182,0.248,46,0,0.248,0,46
T.R. Bryden,R,76,190,0,0,0,0,0,0
Jose Arcia,R,75,170,0.215,1,0.215,0,1,0
Leon Durham,L,73,185,0.277,147,0,0.277,0,147
Tom Makowski,R,71,185,0,0,0,0,0,0
Paul Householder,B,72,180,0.236,29,0,0,0,0
Aurelio Rodriguez,R,70,180,0.237,124,0.237,0,124,0
Jimmy Stewart,B,72,165,0.237,8,0,0,0,0
Dick Phillips,L,72,180,0.229,12,0,0.229,0,12
Andres Thomas,R,73,170,0.234,42,0.234,0,42,0
Ed Crosby,L,74,175,0.22,0,0,0.22,0,0
Mike de la Hoz,R,71,175,0.251,25,0.251,0,25,0
Frank Taveras,R,72,155,0.255,2,0.255,0,2,0
Joe Nossek,R,72,178,0.228,3,0.228,0,3,0
Larry Stahl,L,72,175,0.232,36,0,0.232,0,36
Jose Cruz,L,72,170,0.284,165,0,0.284,0,165
Don Mason,L,71,160,0.205,3,0,0.205,0,3
Bill Robinson,R,74,189,0.258,166,0.258,0,166,0
Jim Umbarger,L,78,200,0,0,0,0,0,0
Sal Bando,R,72,195,0.254,242,0.254,0,242,0
George Mitterwald,R,74,195,0.236,76,0.236,0,76,0
Mike Darr,R,76,190,0,0,0,0,0,0
Craig Robinson,R,70,165,0.219,0,0.219,0,0,0
Bob Tillman,R,76,205,0.232,79,0.232,0,79,0
Curt Wardle,L,77,220,0,0,0,0,0,0
Pat Corrales,R,72,180,0.216,4,0.216,0,4,0
Mike Tyson,R,69,170,0.241,27,0.241,0,27,0
Rafael Landestoy,B,70,165,0.237,4,0,0,0,0
Duane Josephson,R,72,190,0.258,23,0.258,0,23,0
Duane Walker,L,72,185,0.229,24,0,0.229,0,24
Glenn Hubbard,R,69,150,0.244,70,0.244,0,70,0
Roger Freed,R,72,190,0.245,22,0.245,0,22,0
George Hendrick,R,75,195,0.278,267,0.278,0,267,0
Rod Carew,L,72,170,0.328,92,0,0.328,0,92
Bob Davis,R,72,180,0.197,6,0.197,0,6,0
Toby Harrah,R,72,175,0.264,195,0.264,0,195,0
Rick Manning,L,73,180,0.257,56,0,0.257,0,56
Israel Sanchez,L,69,170,0,0,0,0,0,0
Steve Burke,B,74,200,0,0,0,0,0,0
Gary Matthews,R,74,185,0.281,234,0.281,0,234,0
Cesar Geronimo,L,72,165,0.258,51,0,0.258,0,51
Billy Bryan,L,76,200,0.216,41,0,0.216,0,41
Terry Taylor,R,73,180,0,0,0,0,0,0
Terry Whitfield,L,73,197,0.281,33,0,0.281,0,33
Mario Mendoza,R,71,170,0.215,4,0.215,0,4,0
Fred Lynn,L,73,185,0.283,306,0,0.283,0,306
Larry Hisle,R,74,193,0.273,166,0.273,0,166,0
Graig Nettles,L,72,180,0.248,390,0,0.248,0,390
Randy Nosek,R,76,215,0,0,0,0,0,0
Dave Engle,R,75,210,0.262,31,0.262,0,31,0
Narciso Elvira,L,70,160,0,0,0,0,0,0
Mike Easler,L,72,190,0.293,118,0,0.293,0,118
Mark Smith,R,74,215,0,0,0,0,0,0
Paul Mitchell,R,73,195,0,0,0,0,0,0
Rick Sweet,B,73,200,0.234,6,0,0,0,0
Thurman Munson,R,71,190,0.292,113,0.292,0,113,0
Rick Monday,L,75,193,0.264,241,0,0.264,0,241
Mike Sadek,R,69,165,0.226,5,0.226,0,5,0
Mark Belanger,R,73,170,0.228,20,0.228,0,20,0
Ron Hunt,R,72,186,0.273,39,0.273,0,39,0
Joe Keough,L,72,185,0.246,9,0,0.246,0,9
Butch Edge,R,75,203,0,0,0,0,0,0
Vic Correll,R,70,185,0.229,29,0.229,0,29,0
Jackie Hernandez,R,71,165,0.208,12,0.208,0,12,0
Tony Solaita,L,72,210,0.255,50,0,0.255,0,50
U L Washington,B,71,175,0.251,27,0,0,0,0
Gary Mielke,R,75,185,0,0,0,0,0,0
Rick Henninger,R,78,225,0,0,0,0,0,0
Joe Foy,R,72,215,0.248,58,0.248,0,58,0
Ed Goodson,L,75,180,0.26,30,0,0.26,0,30
Mark Brown,B,74,190,0,0,0,0,0,0
Mickey Klutts,R,71,170,0.241,14,0.241,0,14,0
Leroy Stanton,R,73,195,0.244,77,0.244,0,77,0
Rafael Vasquez,R,72,160,0,0,0,0,0,0
Len Whitehouse,L,71,175,0,0,0,0,0,0
Danny Ainge,R,76,175,0.22,2,0.22,0,2,0
Adolfo Phillips,R,73,175,0.247,59,0.247,0,59,0
Marv Breeding,R,72,175,0.25,7,0.25,0,7,0
Steve Adkins,R,78,210,0,0,0,0,0,0
Dick McAuliffe,L,71,176,0.247,197,0,0.247,0,197
Joe Horlen,R,72,170,0.134,0,0.134,0,0,0
Glenn Burke,R,72,195,0.237,2,0.237,0,2,0
Tony Mack,R,70,177,0,0,0,0,0,0
Terry Humphrey,R,75,185,0.211,6,0.211,0,6,0
Bill Moran,R,76,210,0,0,0,0,0,0
Enzo Hernandez,R,68,155,0.224,2,0.224,0,2,0
Cesar Gutierrez,R,69,155,0.235,0,0.235,0,0,0
Coco Laboy,R,70,165,0.233,28,0.233,0,28,0
Ted Kubiak,B,72,175,0.231,13,0,0,0,0
Jim Morrison,R,71,175,0.26,112,0.26,0,112,0
Tom Gilles,R,73,185,0,0,0,0,0,0
Bobby Knoop,R,73,170,0.236,56,0.236,0,56,0
Bobby Brown,B,74,190,0.245,26,0,0,0,0
Tom Hutton,L,71,180,0.248,22,0,0.248,0,22
Ron Hodges,L,73,185,0.24,19,0,0.24,0,19
Rich Chiles,L,71,170,0.254,6,0,0.254,0,6
Tom Paciorek,R,76,215,0.282,86,0.282,0,86,0
Gary Woods,R,74,185,0.243,13,0.243,0,13,0
Bob Montgomery,R,73,195,0.258,23,0.258,0,23,0
Jeff Burroughs,R,73,200,0.261,240,0.261,0,240,0
Rusty Staub,L,74,190,0.279,292,0,0.279,0,292
Jim Norris,L,70,175,0.264,7,0,0.264,0,7
Oscar Gamble,L,71,160,0.265,200,0,0.265,0,200
Bob Kammeyer,R,76,210,0,0,0,0,0,0
George Vukovich,L,72,198,0.268,27,0,0.268,0,27
Joe Pactwa,L,71,185,0,0,0,0,0,0
Craig Reynolds,L,73,175,0.256,42,0,0.256,0,42
Paul Blair,R,72,168,0.25,134,0.25,0,134,0
Al Cowens,R,73,197,0.27,108,0.27,0,108,0
Al Oliver,L,72,195,0.303,219,0,0.303,0,219
Dave Hilton,R,71,191,0.213,6,0.213,0,6,0
Luis Alvarado,R,69,162,0.214,5,0.214,0,5,0
Larry Parrish,R,75,190,0.263,256,0.263,0,256,0
Woodie Fryman,R,75,197,0.138,2,0.138,0,2,0
Bob Randall,R,74,175,0.257,1,0.257,0,1,0
Jim Pankovits,R,70,170,0.25,9,0.25,0,9,0
Sherman Corbett,L,76,205,0,0,0,0,0,0
Carmen Fanzone,R,72,200,0.224,20,0.224,0,20,0
Gary Allenson,R,71,185,0.221,19,0.221,0,19,0
Milt May,L,72,190,0.263,77,0,0.263,0,77
Mike Vail,R,73,180,0.279,34,0.279,0,34,0
Nick Esasky,R,75,200,0.25,122,0.25,0,122,0
Jim Nettles,L,72,186,0.22,16,0,0.22,0,16
Lafayette Currence,B,71,175,0,0,0,0,0,0
Chris Cannizzaro,R,72,190,0.235,18,0.235,0,18,0
Larry Biittner,L,74,205,0.273,29,0,0.273,0,29
John Pawlowski,R,74,175,0,0,0,0,0,0
Mel Stottlemyre,R,73,178,0.16,7,0.16,0,7,0
Jack Hardy,R,74,175,0,0,0,0,0,0
Ron Musselman,R,74,185,0,0,0,0,0,0
Roy Smalley,B,73,185,0.257,163,0,0,0,0
Tony Chevez,R,71,177,0,0,0,0,0,0
Andy Messersmith,R,73,200,0.17,5,0.17,0,5,0
Richie Zisk,R,73,200,0.287,207,0.287,0,207,0
Dave Chalk,R,70,175,0.252,15,0.252,0,15,0
Don Baylor,R,73,190,0.26,338,0.26,0,338,0
John Vukovich,R,73,187,0.161,6,0.161,0,6,0
Danny Thompson,R,72,183,0.248,15,0.248,0,15,0
Joe Simpson,L,75,175,0.242,9,0,0.242,0,9
Bill Fahey,L,72,200,0.241,7,0,0.241,0,7
Doug Camilli,R,71,195,0.199,18,0.199,0,18,0
Bernie Allen,L,72,175,0.239,73,0,0.239,0,73
Bruce Bochy,R,75,205,0.239,26,0.239,0,26,0
Gary Ignasiak,R,71,185,0,0,0,0,0,0
Claudell Washington,L,72,190,0.278,164,0,0.278,0,164
John Donaldson,L,71,160,0.238,4,0,0.238,0,4
Mike Smithson,L,80,215,0,0,0,0,0,0
John Mayberry,L,75,215,0.253,255,0,0.253,0,255
Ken Reitz,R,72,180,0.26,68,0.26,0,68,0
Amos Otis,R,71,165,0.277,193,0.277,0,193,0
Gene Alley,R,70,160,0.254,55,0.254,0,55,0
Ted Sizemore,R,70,165,0.262,23,0.262,0,23,0
Dan Briggs,L,72,180,0.195,12,0,0.195,0,12
Joe Skalski,R,75,190,0,0,0,0,0,0
Doug Flynn,R,71,165,0.238,7,0.238,0,7,0
